Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,type,gene_number,db
GTPase Activator Activity (GO:0005096),32/211,0.021179355715727648,2.0009569147416504,14.814880662838775,USP6NL;TBC1D9B;RABGAP1;FAM13B;NPRL3;ARHGAP1;ARHGAP19;AGAP1;ARHGAP17;ASAP1;SYDE1;SIPA1L1;RACGAP1;CHN1;TBC1D14;BRD8;TBC1D17;DNM1L;TBC1D22A;TBC1D22B;GARNL3;RALGAPA1;STARD8;TSC2;MYO9B;OCRL;RP2;SGSM2;PREB;RGS12;DEPDC5;LLGL1,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Nuclear Receptor Coactivator Activity (GO:0030374),12/50,0.021179355715727648,3.5186597046481083,25.99119739819133,MED12;PSMC3IP;NCOA2;MED22;MED14;CNOT6;BUD31;NCOA3;HMGA1;BRD8;PPRC1;ATXN7L3,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Tubulin Binding (GO:0015631),44/322,0.022159852834951487,1.7750001116425296,12.948448622981887,CEP57;RABGAP1;GPAA1;TUBGCP2;FMR1;BRCA2;CAMSAP1;UXT;RACGAP1;HAUS8;KIF3A;GAS2L1;DNM1L;DLGAP5;CLASP1;NDEL1;MAP4K4;ENKD1;CLASP2;MACO1;HAUS6;CGN;TERF1;EML1;EML2;EML3;EML4;NISCH;CCDC88A;CLIP1;TTLL4;PSRC1;HOOK2;IFT81;KIFC1;CENPJ;ALMS1;TUBGCP5;ARHGEF2;B9D2;TUBGCP4;GAPDH;CCDC61;MDM1,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
DNA Binding (GO:0003677),96/846,0.028510704853006424,1.4446183450930083,10.110090711184865,TOP2A;KDM5A;DCLRE1A;MPG;FMR1;HP1BP3;CHD6;PRDM2;SMC5;RBPJ;BRCA2;ENDOV;ZMYM4;RUVBL2;SPATA24;SNAPC4;SMARCAD1;TRIM26;LRRFIP1;POLE;KDM6A;POLG;JMJD4;RFC1;KDM2B;PARP2;DDX11;ATRX;DNMT3A;RFX3;MSL3;TERF1;ARID1A;REXO4;SIRT3;DDB1;TOX3;ILF3;MAU2;SLTM;IRF3;MSH3;MTF2;TIMELESS;RBMS1;KMT2D;GTF3C4;TSG101;KDM3B;MYRF;WBP2;SRRT;PDS5B;HIF1A;PSMC3IP;TFPT;BCLAF1;NTHL1;HSF1;ZSCAN10;IGF2BP1;SAFB2;PMS2;CAMTA1;PATZ1;LYAR;PMS1;BPTF;CTC1;TCF7L2;POU2F1;ATAD5;CENPX;NR1H2;NFYC;CBX1;HUWE1;HMGA1;APTX;USF1;FANCG;NR2F6;SETX;DRAP1;RAD52;CAMSAP3;RAD50;TFAP4;TDP2;ERCC2;TCF4;QRICH1;CRLF3;TARDBP;RAD18;EZH2,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
"Catalytic Activity, Acting On A tRNA (GO:0140101)",10/39,0.029972971094613703,3.839429829158369,26.514622493111514,DTWD2;DUS2;AARS2;TYW5;MRPL58;TARS2;DUS3L;OSGEP;ANKZF1;TRIT1,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Histone H4K20 Methyltransferase Activity (GO:0042799),4/7,0.03730113397486165,14.812840702604483,98.0627130157306,KMT5C;NSD1;NSD2;KMT5B,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Guanyl-Nucleotide Exchange Factor Activity (GO:0005085),30/203,0.03730113397486165,1.9392085371276122,12.812553611788868,DENND1C;DOCK6;ITSN1;MYCBP2;DOCK7;FGD1;RCBTB2;RCC1L;RIC8A;AKAP13;HERC2;DENND10;RALGPS2;ANKRD27;PLEKHG2;ARHGEF16;HPS4;ARHGEF19;GAPVD1;TIAM1;CCDC88A;SPATA13;RAB3GAP2;PREB;RIN3;DENND6B;ARHGEF2;RGL2;MON1A;NUCB2,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Protein Kinase Binding (GO:0019901),62/511,0.03891911142133946,1.5512633920395047,10.090968570123607,TOP2A;ATF2;USP37;TFRC;RNF13;ILK;FOXM1;IKBKB;UXT;PPP1CC;CHEK2;SUFU;TRIM68;SIRPA;SPG11;DSP;FBXW5;PPP1R12A;BORA;DUSP1;ADAM10;VRK1;TRAF2;ACSL3;CDC25C;ATG13;PRKAB1;LIME1;TIRAP;PICK1;ANKRA2;CACUL1;LLGL1;BECN1;HDAC5;HIF1A;MAPK7;RACGAP1;IRAK1;PRKAR2B;PDCD10;STK38;HSF1;TBC1D14;RFFL;PDLIM5;MAP2K6;NEK9;TCF7L2;STK11IP;TPRKB;NBEAL1;PTPN11;PTK2;USF1;CCDC88A;MAVS;TBL2;TNIP1;CENPJ;MAP3K12;RAD9A,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
2-Oxoglutarate-Dependent Dioxygenase Activity (GO:0016706),10/41,0.03891911142133946,3.5913324835768212,23.30966886417338,KDM5A;JMJD4;KDM4B;EGLN2;KDM4C;KDM2B;TYW5;JMJD7;KDM6A;JMJD6,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
Ubiquitin Protein Ligase Binding (GO:0031625),37/271,0.04293886152287289,1.7699042819561979,11.222021474757907,BECN1;TSG101;FAF2;ARRB2;AMBRA1;UBE2J2;HIF1A;BAG6;HERC2;ERBB3;PRKAR2B;CBS;CHEK2;DBT;MFN2;SNX9;APBB1;PATZ1;DNM1L;RFFL;SLF1;CHKB;UBE2B;FANCL;TRAF2;ERLIN2;SCAMP3;PML;UBE2W;JKAMP;MDM2;TMBIM6;TRIM37;ANKRA2;EIF4E2;UBE2K;RAD18,Cd2bp2,rmats,1655,GO_Molecular_Function_2023
