ko_symbol,event,se_deg_overlapped
Spen,SE,Stard8
Spen,SE,Kif4
Spen,SE,Kdm5c
Spen,SE,Rere
Spen,SE,Epb41
Spen,SE,Zfp326
Spen,SE,Sfswap
Spen,SE,Gusb
Spen,SE,Ccdc136
Spen,SE,Sec23ip
Spen,SE,Meis3
Spen,SE,Clcn4
Spen,SE,Hnrnpl
Spen,SE,Mdm2
Spen,SE,Plpp2
Spen,SE,Dus2
Spen,SE,Tmem161a
Spen,SE,Sugp2
Spen,SE,Ttc13
Spen,SE,Setd6
Spen,SE,Mcoln1
Spen,SE,Rad23a
Spen,SE,Zmym2
Spen,SE,Pbrm1
Spen,SE,Prxl2a
Spen,SE,Rnf214
Spen,SE,Golga4
Spen,SE,Smg6
Spen,SE,Faf2
Spen,SE,Actn1
Spen,SE,Donson
Spen,SE,Ntan1
Spen,SE,Gm20517
Spen,SE,Bin1
Spen,SE,Mtpap
Spen,SE,Eml3
Strap,SE,Eloc
Strap,SE,Fn1
Strap,SE,Gas5
Strap,SE,Mettl5
Strap,SE,Rbm39
Strap,SE,Gabpb1
Strap,SE,Slc2a8
Strap,SE,Tmem164
Strap,SE,Prps2
Strap,SE,Rnf115
Strap,SE,Trim33
Strap,SE,Btf3l4
Strap,SE,Arid1a
Strap,SE,Itgb3bp
Strap,SE,Tstd2
Strap,SE,Otud6b
Strap,SE,Hnrnpdl
Strap,SE,Mpv17
Strap,SE,Gtf2i
Strap,SE,Hnrnpa2b1
Strap,SE,Pradc1
Strap,SE,Cecr2
Strap,SE,Ccdc136
Strap,SE,Cttn
Strap,SE,Tmc4
Strap,SE,Plekha1
Strap,SE,Chmp2a
Strap,SE,Krr1
Strap,SE,Csnk1g2
Strap,SE,Setd6
Strap,SE,Pbrm1
Strap,SE,Zfp219
Strap,SE,Prxl2a
Strap,SE,Nme6
Strap,SE,Oaz2
Strap,SE,Ilf3
Strap,SE,Llgl2
Strap,SE,Eif5a
Strap,SE,Sec14l4
Strap,SE,Fam120a
Strap,SE,Bphl
Strap,SE,Nsd1
Strap,SE,Pdlim7
Strap,SE,Gemin2
Strap,SE,Nudt14
Strap,SE,Atg3
Strap,SE,Ift57
Strap,SE,Tmem63b
Strap,SE,Ehmt2
Strap,SE,Atat1
Strap,SE,Mtpap
Strap,SE,Fgf8
