ko_symbol,se_deg_overlapped
Ybx1,Irx3
Ybx1,Tm2d2
Ybx1,Rbm34
Ybx1,Ssbp4
Ybx1,Rad23a
Ybx1,Pibf1
Ybx1,Slc7a7
Ybx1,Dlg5
Ybx1,Scamp2
Ybx1,Smarcc1
Ybx1,Cadm1
Ybx1,Clasp2
Ybx1,Grb7
Ybx1,Nbr1
Ybx1,Suz12
Ybx1,Rps6kb1
Ybx1,Zmiz2
Ybx1,Dhrs13
Ybx1,Gemin2
Ybx1,Strn3
Ybx1,Rbm25
Ybx1,Arid1b
Ybx1,Rpl10a
Ybx1,Gm20517
Ybx1,Dennd10
Ybx1,Fgf8
Ybx1,Cdc37l1
