ko_symbol,event,database,term,overlap,adjusted_p_value,odds_ratio,combined_score,genes,gene_number
Cd2bp2,SE,GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),15/288,8.011873114084747e-4,4.0947749568439225,46.32474085827014,TOP3B;UVRAG;FANCL;FMR1;ACTR5;XRCC3;FANCC;PDS5B;TERF1;TERF2;FANCG;RAD50;MSH3;RUVBL2;POLE,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Telomere Maintenance (GO:0032204),6/38,8.011873114084747e-4,13.675,154.430651195309,SLF1;RAD50;NSMCE2;SMC5;TERF1;TERF2,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060260),7/57,8.029811555181484e-4,10.239256505576208,115.23580473715546,MED22;MED14;TBP;MED20;MED15;TAF2;MED7,276
Cd2bp2,SE,GO_Cellular_Component_2023,PRC1 Complex (GO:0035102),4/15,8.091747477495783e-4,26.35427807486631,264.9955342125821,PHC1;PCGF5;PCGF2;PCGF1,276
Cd2bp2,SE,GO_Biological_Process_2023,Histone H4 Acetylation (GO:0043967),6/39,8.423756557751383e-4,13.25993265993266,147.68151889456874,KANSL1;RUVBL2;JADE1;MSL3;KAT7;MSL1,276
Cd2bp2,SE,GO_Biological_Process_2023,Internal Peptidyl-Lysine Acetylation (GO:0018393),6/39,8.423756557751383e-4,13.25993265993266,147.68151889456874,BAG6;TADA2A;RUVBL2;TADA3;KAT7;KAT14,276
Cd2bp2,SE,GO_Biological_Process_2023,Transcription Preinitiation Complex Assembly (GO:0070897),7/59,9.141219270374847e-4,9.84443808979125,108.51423975405146,MED22;MED14;TBP;MED20;MED15;TAF2;MED7,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),49/1922,9.822190014052777e-4,2.0572875384257157,22.464138277849457,ATF2;JADE1;RBPJ;FOXM1;IKBKB;MED14;SIN3A;RUVBL2;UIMC1;KAT7;CCNL2;BTRC;NCOA2;PBRM1;KDM2B;FBXW11;ACTR5;DNMT3A;MSL3;ARID1B;MED7;MSL1;MED22;CREB1;TFDP2;MED20;MTF2;BCLAF1;MTA1;MIER1;PCGF1;MTA3;E2F6;KAT14;BPTF;PCGF5;BRPF3;NFYC;RFXANK;GCLC;ZZZ3;TADA2A;KANSL1;CNOT2;TADA3;MDM2;BCOR;TAF2;EZH2,276
Cd2bp2,SE,GO_Biological_Process_2023,Regulation Of Embryonic Development (GO:0045995),7/62,0.0011950681333720101,9.306049340993578,99.50384761981762,BAG6;TADA2A;ZZZ3;RUVBL2;ACTR5;TADA3;KAT14,276
Cd2bp2,SE,GO_Cellular_Component_2023,Protein Kinase Complex (GO:1902911),4/17,0.0012742926453897852,22.297511312217196,212.2934832834643,STK11;CAB39;STRADA;STRADB,276
