Term,Overlap,Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,ko_symbol,event,type,gene_number,db
Organelle Organization (GO:0006996),47/418,0.011659268305111216,2.0286051505663654,21.519498874963915,USP6NL;ABCD4;PI4K2B;TAFAZZIN;FAF2;TOR1AIP2;MIA3;FGD1;CAMSAP1;CECR2;RHOT1;SMPD4;ZMYM4;MICAL1;DYM;PACSIN3;TMED1;DNM1L;EPS15;CLASP1;SEC31A;PAK4;CLASP2;CENPT;HACE1;YTHDF2;YTHDF3;ATP8B2;NAA10;MTX2;COG2;TRAPPC8;CSNK1D;PEX1;MCOLN1;CFAP410;FANCG;TJAP1;GAK;FMNL3;SEC23IP;TMEM135;BIN1;ADCK1;RAB34;GOLGB1;TRIP11,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Chromatin Organization (GO:0006325),34/268,0.0120179154284607,2.3177959878990806,24.20752224458548,KDM5A;SUV39H2;KDM5C;CHD6;EHMT1;M1AP;CECR2;HIRIP3;MTA1;RUVBL2;MIER1;PCGF1;SMARCAD1;KAT7;MTA3;BPTF;KDM6A;PBRM1;CHTOP;PHC1;CBX5;KDM4C;KDM2B;DDX11;PCGF2;ACTR5;ARID1B;NAP1L4;TADA2A;ZZZ3;MTF2;HNRNPC;BCOR;EZH2,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Chromatin Remodeling (GO:0006338),30/228,0.015575731702249677,2.413345786633458,24.295394052266172,KDM5A;SUV39H2;KDM5C;USP15;CHD6;CECR2;MTA1;RUVBL2;MIER1;PCGF1;SMARCAD1;MTA3;BPTF;KDM6A;SRPK2;PBRM1;CHTOP;PHC1;KDM4C;KDM2B;PCGF2;USP3;ACTR5;SIRT7;ARID1B;SIRT2;TADA2A;MTF2;HNRNPC;BCOR,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Spindle Assembly (GO:0051225),15/81,0.024323185002227247,3.5994774456312917,33.88380143529466,ABRAXAS1;TUBGCP2;SPICE1;CSNK1D;HAUS6;WRAP73;STAG1;STAG2;HAUS8;KIFC1;CHEK2;LSM14A;CLASP1;CCDC61;CLASP2,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),37/319,0.024323185002227247,2.0929621688322,19.447142640627575,ANAPC16;FAF2;ARRB2;AMBRA1;UBE2J2;BAG6;RMND5B;AMN1;MTA1;ZSWIM8;TBL1X;ASCC3;BTRC;RFFL;ANKZF1;KLHDC10;FBXW5;FBXW11;RHBDD2;SMURF1;FBXO17;WWP1;ARMC8;ERLIN2;PPP2R5C;SIRT2;PML;FBXL12;UBE2W;ITCH;MDM2;ERCC8;RBCK1;FBXL5;RNF185;UBE2K;BIRC2,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity (GO:0045197),10/40,0.024323185002227247,5.267115600448934,48.89384304247524,CAMSAP3;PATJ;DLG1;DLG3;DLG5;SCRIB;SYNE4;PRKCZ;MARK2;PALS1,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Establishment Or Maintenance Of Apical/Basal Cell Polarity (GO:0035088),8/26,0.024323185002227247,7.015499533146592,64.91904414919752,PATJ;DLG1;DLG3;DLG5;SCRIB;PRKCZ;MARK2;PALS1,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Plasma Membrane Bounded Cell Projection Assembly (GO:0120031),33/275,0.026750022569097226,2.1724541552867733,19.735543019066103,DYNLT2B;ASAP1;FGD1;CDC14B;NUDCD3;ABLIM1;TBC1D31;ARL13B;WDR90;ARFIP2;IFT57;BBS5;RAB8B;PLK4;IQCB1;SEPTIN2;RFX3;SEPTIN6;IFT122;CPLANE1;ANO6;OCRL;ATAT1;FMNL3;CCDC88A;IFT81;TMEM237;RP2;CENPJ;STK26;SPATA13;B9D2;CEP20,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Endocytosis (GO:0006897),25/189,0.03596842894261078,2.422130039714719,21.103262398196296,LMBR1L;PIK3C2A;CLINT1;RAB22A;AP3M1;CLN3;SNX9;ATP9B;EPS15;TSC2;CSNK1D;EPS15L1;HSPG2;EPN1;EPN2;GAK;DAB2;BIN3;HOOK2;BIN1;RAB34;OCIAD1;RIN3;PI4KB;CSNK1G2,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
Histone H2A-K119 Monoubiquitination (GO:0036353),4/6,0.03596842894261078,31.490787269681743,272.54673652489925,PCGF5;PCGF2;PCGF1;TRIM37,Cd2bp2,SE,rmats,1198,GO_Biological_Process_2023
