go,symbol
GO:0000172,POP5
GO:0000172,POP7
GO:0000172,RPP25
GO:0000172,RPP30
GO:0000172,RPP38
GO:0000172,RPP40
GO:0000175,DIS3
GO:0000175,DIS3L
GO:0000175,EXOSC1
GO:0000175,EXOSC10
GO:0000175,EXOSC2
GO:0000175,EXOSC3
GO:0000175,EXOSC4
GO:0000175,EXOSC5
GO:0000175,EXOSC6
GO:0000175,EXOSC7
GO:0000175,EXOSC8
GO:0000175,EXOSC9
GO:0000176),DIS3
GO:0000176),EXOSC1
GO:0000176),EXOSC10
GO:0000176),EXOSC2
GO:0000176),EXOSC3
GO:0000176),EXOSC4
GO:0000176),EXOSC5
GO:0000176),EXOSC6
GO:0000176),EXOSC7
GO:0000176),EXOSC8
GO:0000176),EXOSC9
GO:0000177),DIS3L
GO:0000177),EXOSC1
GO:0000177),EXOSC10
GO:0000177),EXOSC2
GO:0000177),EXOSC3
GO:0000177),EXOSC4
GO:0000177),EXOSC5
GO:0000177),EXOSC6
GO:0000177),EXOSC7
GO:0000177),EXOSC8
GO:0000177),EXOSC9
GO:0000178),DIS3
GO:0000178),EXOSC1
GO:0000178),EXOSC2
GO:0000178),EXOSC3
GO:0000178),EXOSC4
GO:0000178),EXOSC5
GO:0000178),EXOSC6
GO:0000178),EXOSC7
GO:0000178),EXOSC8
GO:0000178),EXOSC9
GO:0000182,BAZ1A
GO:0000182,BAZ1B
GO:0000182,CHRAC1
GO:0000182,DDX21
GO:0000182,DEK
GO:0000182,ERCC6
GO:0000182,MYBBP1A
GO:0000182,POLE3
GO:0000182,RRP8
GO:0000182,SF3B1
GO:0000182,SIRT1
GO:0000182,SMARCA5
GO:0000182,SUV39H1
GO:0000183,BAZ2A
GO:0000183,RRP8
GO:0000183,SIRT1
GO:0000183,SMARCA5
GO:0000183,SUV39H1
GO:0000184,NCBP1
GO:0000184,NCBP2
GO:0000213,CLP1
GO:0000213,TSEN15
GO:0000213,TSEN2
GO:0000213,TSEN34
GO:0000213,TSEN54
GO:0000214,CLP1
GO:0000214,TSEN15
GO:0000214,TSEN2
GO:0000214,TSEN34
GO:0000214,TSEN54
GO:0000226,CCDC8
GO:0000226,CUL7
GO:0000226,OBSL1
GO:0000228,LOC130134321
GO:0000228,SFR1
GO:0000228,SLX1A
GO:0000228,SLX1B
GO:0000228,SLX4
GO:0000228,SWI5
GO:0000278,AURKB
GO:0000278,BIRC5
GO:0000278,CDCA8
GO:0000278,INCENP
GO:0000281,AURKB
GO:0000281,BIRC5
GO:0000281,CDCA8
GO:0000281,EXOC1
GO:0000281,EXOC2
GO:0000281,EXOC3
GO:0000281,EXOC4
GO:0000281,EXOC5
GO:0000281,EXOC6
GO:0000281,EXOC6B
GO:0000281,EXOC7
GO:0000281,EXOC8
GO:0000281,INCENP
GO:0000287,GRIN1
GO:0000287,GRIN2A
GO:0000287,GRIN2B
GO:0000287,GRIN2C
GO:0000287,GRIN2D
GO:0000287,KCNJ2
GO:0000287,MRE11
GO:0000287,MRE11A
GO:0000287,MSH2
GO:0000287,MSH3
GO:0000287,MSH6
GO:0000287,NBN
GO:0000287,PMM1
GO:0000287,RAD50
GO:0000287,RRM1
GO:0000287,RRM2
GO:0000287,RRM2B
GO:0000288,DCP1A
GO:0000288,DCP1B
GO:0000288,DCP2
GO:0000288,DDX6
GO:0000288,EDC3
GO:0000288,EDC4
GO:0000288,XRN1
GO:0000289 tail shortening),CNOT1
GO:0000289 tail shortening),CNOT10
GO:0000289 tail shortening),CNOT11
GO:0000289 tail shortening),CNOT2
GO:0000289 tail shortening),CNOT3
GO:0000289 tail shortening),CNOT4
GO:0000289 tail shortening),CNOT6
GO:0000289 tail shortening),CNOT6L
GO:0000289 tail shortening),CNOT7
GO:0000289 tail shortening),CNOT8
GO:0000289 tail shortening),CNOT9
GO:0000289 tail shortening),PAN2
GO:0000289 tail shortening),TNKS1BP1
GO:0000290,DCP1A
GO:0000290,DCP1B
GO:0000290,DCP2
GO:0000290,DDX6
GO:0000290,EDC3
GO:0000290,EDC4
GO:0000290,XRN1
GO:0000301,COG1
GO:0000301,COG2
GO:0000301,COG3
GO:0000301,COG4
GO:0000301,COG5
GO:0000301,COG6
GO:0000301,COG7
GO:0000301,COG8
GO:0000307,CCNC
GO:0000307,CCNH
GO:0000307,CCNL1
GO:0000307,CCNL2
GO:0000307,CCNQ
GO:0000307,CCNY
GO:0000307,CDK10
GO:0000307,CDK14
GO:0000307,CDK16
GO:0000307,CDK3
GO:0000307,CDK5
GO:0000307,CDK5R1
GO:0000307,CDK5R2
GO:0000307,CDK7
GO:0000307,CDK8
GO:0000307,MNAT1
GO:0000333,TERT
GO:0000340,NCBP1
GO:0000340,NCBP2
GO:0000340,NCBP3
GO:0000341,KPNB1
GO:0000341,SNUPN
GO:0000346,ALYREF
GO:0000346,CHTOP
GO:0000346,DDX39A
GO:0000346,DDX39B
GO:0000346,ERH
GO:0000346,FYTTD1
GO:0000346,LUZP4
GO:0000346,NCBP3
GO:0000346,POLDIP3
GO:0000346,SARNP
GO:0000346,THOC1
GO:0000346,THOC2
GO:0000346,THOC3
GO:0000346,THOC5
GO:0000346,THOC6
GO:0000346,THOC7
GO:0000346,ZC3H11A
GO:0000379,CLP1
GO:0000379,TSEN15
GO:0000379,TSEN2
GO:0000379,TSEN34
GO:0000379,TSEN54
GO:0000380,NCBP1
GO:0000380,NCBP2
GO:0000387,CLNS1A
GO:0000387,DDX20
GO:0000387,GEMIN2
GO:0000387,GEMIN4
GO:0000387,GEMIN5
GO:0000387,GEMIN6
GO:0000387,GEMIN7
GO:0000387,GEMIN8
GO:0000387,PRMT5
GO:0000387,SMN1
GO:0000387,SMN2
GO:0000387,STRAP
GO:0000387,WDR77
GO:0000398,AQR
GO:0000398,BCAS2
GO:0000398,BUD13
GO:0000398,CDC5L
GO:0000398,CTNNBL1
GO:0000398,CWC15
GO:0000398,DDX23
GO:0000398,DDX46
GO:0000398,EFTUD2
GO:0000398,HSPA8
GO:0000398,HTATSF1
GO:0000398,ISY1
GO:0000398,ISY1-RAB43
GO:0000398,LOC102724594
GO:0000398,LSM2
GO:0000398,LSM3
GO:0000398,LSM4
GO:0000398,LSM5
GO:0000398,LSM6
GO:0000398,LSM7
GO:0000398,LSM8
GO:0000398,NCBP1
GO:0000398,NCBP2
GO:0000398,PHF5A
GO:0000398,PLRG1
GO:0000398,PPIE
GO:0000398,PRPF19
GO:0000398,PRPF31
GO:0000398,PRPF4
GO:0000398,PRPF6
GO:0000398,PRPF8
GO:0000398,RBM42
GO:0000398,RBMX2
GO:0000398,SART1
GO:0000398,SF1
GO:0000398,SF3A1
GO:0000398,SF3A2
GO:0000398,SF3A3
GO:0000398,SF3B1
GO:0000398,SF3B2
GO:0000398,SF3B3
GO:0000398,SF3B4
GO:0000398,SF3B5
GO:0000398,SF3B6
GO:0000398,SNIP1
GO:0000398,SNRNP200
GO:0000398,SNRNP27
GO:0000398,SNRNP40
GO:0000398,SNRNP70
GO:0000398,SNRPA
GO:0000398,SNRPA1
GO:0000398,SNRPB
GO:0000398,SNRPB2
GO:0000398,SNRPC
GO:0000398,SNRPD1
GO:0000398,SNRPD2
GO:0000398,SNRPD3
GO:0000398,SNRPE
GO:0000398,SNRPF
GO:0000398,SNRPG
GO:0000398,SNU13
GO:0000398,TXNL4A
GO:0000398,U2AF1
GO:0000398,U2AF2
GO:0000398,USP39
GO:0000398,XAB2
GO:0000398,ZNF830
GO:0000400,ACTB
GO:0000400,ACTL6A
GO:0000400,BLM
GO:0000400,BRD8
GO:0000400,DMAP1
GO:0000400,EP400
GO:0000400,EPC1
GO:0000400,EPC2
GO:0000400,ING3
GO:0000400,KAT5
GO:0000400,MBTD1
GO:0000400,MEAF6
GO:0000400,MORF4L1
GO:0000400,MORF4L2
GO:0000400,MRGBP
GO:0000400,RAD51B
GO:0000400,RAD51C
GO:0000400,RAD51D
GO:0000400,RMI1
GO:0000400,RMI2
GO:0000400,RUVBL1
GO:0000400,RUVBL2
GO:0000400,TOP3A
GO:0000400,TRRAP
GO:0000400,VPS72
GO:0000400,XRCC2
GO:0000400,YEATS4
GO:0000407,ATG101
GO:0000407,ATG13
GO:0000407,RB1CC1
GO:0000407,ULK1
GO:0000408,GON7
GO:0000408,LAGE3
GO:0000408,OSGEP
GO:0000408,TP53RK
GO:0000408,TPRKB
GO:0000421,CHMP1A
GO:0000421,CHMP1B
GO:0000421,CHMP1B2
GO:0000421,CHMP2A
GO:0000421,CHMP2B
GO:0000421,CHMP3
GO:0000421,CHMP4A
GO:0000421,CHMP4B
GO:0000421,CHMP4C
GO:0000421,CHMP5
GO:0000421,CHMP6
GO:0000421,CHMP7
GO:0000421,RNF103-CHMP3
GO:0000421,SNAP29
GO:0000421,STX17
GO:0000421,VAMP7
GO:0000421,VAMP8
GO:0000421,YKT6
GO:0000423,UBXN6
GO:0000423,VCP
GO:0000444,DSN1
GO:0000444,MIS12
GO:0000444,NSL1
GO:0000444,PMF1
GO:0000444,PMF1-BGLAP
GO:0000448),LAS1L
GO:0000448),MDN1
GO:0000448),NOL9
GO:0000448),PELP1
GO:0000448),SENP3
GO:0000448),TEX10
GO:0000448),WDR18
GO:0000502,ADRM1
GO:0000502,PSMA1
GO:0000502,PSMA2
GO:0000502,PSMA3
GO:0000502,PSMA4
GO:0000502,PSMA5
GO:0000502,PSMA6
GO:0000502,PSMA7
GO:0000502,PSMB1
GO:0000502,PSMB10
GO:0000502,PSMB11
GO:0000502,PSMB2
GO:0000502,PSMB3
GO:0000502,PSMB4
GO:0000502,PSMB5
GO:0000502,PSMB6
GO:0000502,PSMB7
GO:0000502,PSMB8
GO:0000502,PSMB9
GO:0000502,PSMC1
GO:0000502,PSMC2
GO:0000502,PSMC3
GO:0000502,PSMC4
GO:0000502,PSMC5
GO:0000502,PSMC6
GO:0000502,PSMD1
GO:0000502,PSMD11
GO:0000502,PSMD12
GO:0000502,PSMD13
GO:0000502,PSMD14
GO:0000502,PSMD2
GO:0000502,PSMD3
GO:0000502,PSMD4
GO:0000502,PSMD6
GO:0000502,PSMD7
GO:0000502,PSMD8
GO:0000502,PSME1
GO:0000502,PSME2
GO:0000502,PSME3
GO:0000502,PSME4
GO:0000502,SEM1
GO:0000506 complex),DPM2
GO:0000506 complex),PIGA
GO:0000506 complex),PIGC
GO:0000506 complex),PIGH
GO:0000506 complex),PIGP
GO:0000506 complex),PIGQ
GO:0000506 complex),PIGY
GO:0000707,SFR1
GO:0000707,SWI5
GO:0000710,MLH1
GO:0000710,MLH3
GO:0000710,PMS1
GO:0000710,PMS2
GO:0000722,TERT
GO:0000723,ACTL6A
GO:0000723,ACTR5
GO:0000723,ACTR8
GO:0000723,INO80
GO:0000723,INO80B
GO:0000723,INO80C
GO:0000723,INO80D
GO:0000723,INO80E
GO:0000723,MCRS1
GO:0000723,NFRKB
GO:0000723,RPA1
GO:0000723,RPA2
GO:0000723,RPA3
GO:0000723,RUVBL1
GO:0000723,RUVBL2
GO:0000723,TFPT
GO:0000723,UCHL5
GO:0000723,YY1
GO:0000724,BLM
GO:0000724,BRCA1
GO:0000724,BRCA2
GO:0000724,EID3
GO:0000724,INIP
GO:0000724,INTS3
GO:0000724,LOC130134321
